title	year	director	cast	genre	notes
Supernatural	1933	Victor Halperin	"Carole Lombard, Alan Dinehart"	Horror	
The Sweetheart of Sigma Chi	1933				
This Day and Age	1933	Cecil B. DeMille	"Charles Bickford, Richard Cromwell"	Drama	
This Is America	1933	"Gilbert Seldes and Frederic Ullman Jr.,"	Alois Havrilla (narrator)	Documentary [1]	
Three-Cornered Moon	1933	Elliot Nugent	"Claudette Colbert, Richard Arlen"	Comedy	
Three Little Pigs	1933	Burt Gillett	"Pinto Colvig, Billy Bletcher"	Animated	
Tillie and Gus	1933	Francis Martin	"W. C. Fields, Alison Skipworth"	Comedy	
To the Last Man	1933	Henry Hathaway	"Randolph Scott, Esther Ralston"	Western	
Today We Live	1933	Howard Hawks	"Joan Crawford, Gary Cooper, Roland Young"	"Romance, Drama"	
Tonight Is Ours	1933	Stuart Walker	"Claudette Colbert, Fredric March"	Romance	
Topaze	1933		"John Barrymore, Myrna Loy"	Drama	
Torch Singer	1933	Alexander Hall	"Claudette Colbert, Ricardo Cortez"	"Musical, Romance"	
Tugboat Annie	1933	Mervyn LeRoy	"Marie Dressler, Wallace Beery, Maureen O'Sullivan"	Romantic comedy	
Turn Back the Clock	1933	Edgar Selwin	"Lee Tracy, Mae Clarke"	Drama	
Unknown Valley	1933				
The Vampire Bat	1933	Frank R. Stayer	"Fay Wray, Lionel Atwill, Melvyn Douglas"	Horror	
Voltaire	1933	John G. Adolfi	"George Arliss, Doris Kenyon"	Biography	
When Ladies Meet	1933	Harry Beaumont	"Ann Harding, Myrna Loy, Robert Montgomery"	Drama	
The White Sister	1933	Victor Fleming	"Helen Hayes, Clark Gable"	Drama	
Wild Boys of the Road	1933	William Wellman	"Frankie Darro, Dorothy Coonan"	Drama	
The Woman Accused	1933	Paul Sloane	"Cary Grant, Nancy Carroll"	Drama	
The Woman I Stole	1933				
The Women in His Life	1933	George B. Seitz	"Otto Kruger, Una Merkel"	Crime	
The Working Man	1933	John G. Adolfi	"George Arliss, Bette Davis"	Comedy	
365 Nights in Hollywood	1934	George Marshall	"Alice Faye, Grant Mitchell, James Dunn"	Musical	
The Age of Innocence	1934	Philip Moeller	"Irene Dunne, John Boles, Helen Westley"	Drama	
All Men Are Enemies	1934	George Fitzmaurice	"Helen Twelvetrees, Mona Barrie, Hugh Williams"	Drama	
All of Me	1934	James Flood	"Fredric March, George Raft, Miriam Hopkins"	"Comedy, Drama"	
All the King's Horses	1934	Frank Tuttle	"Edward Everett Horton, Mary Ellis, Carl Brisson"	Musical	
Anne of Green Gables	1934	"George Nichols, Jr."	"Anne Shirley, Helen Westley, O. P. Heggie"	"Comedy, Drama"	
Are We Civilized?	1934	Edwin Carewe	"Frank McGlynn, William Farnum, Anita Louise"	Drama	
As the Earth Turns	1934	Alfred E. Green	"Donald Woods, Jean Muir, Dorothy Peterson"	Drama	
Babes in Toyland	1934	Gus Meins	"Stan Laurel, Oliver Hardy, Charlotte Henry"	"Comedy, Fantasy"	
Baby Take a Bow	1934	Harry Lachman	"Shirley Temple, Claire Trevor, James Dunn"	"Comedy, Drama"	
Bachelor Bait	1934	George Stevens	"Stuart Erwin, Rochelle Hudson, Grady Sutton"	Comedy	
The Barrets of Wimpole Street	1934	Sidney Franklin	"Norma Shearer, Fredric March, Charles Laughton"	Historical	
The Beast of Borneo	1934	Harry Garson	"Eugene Sigaloff, Mae Stuart, John Preston"	"Drama, Horror"	
Bedside	1934	Robert Florey	"Warren William, Jean Muir, Kathryn Sergava"	Drama	
Beggars in Ermine	1934	Phil Rosen	"Lionel Atwill, Jameson Thomas, Betty Furness"	Drama	
Behold My Wife!	1934	Mitchell Leisen	"Sylvia Sidney, Ann Sheridan, H. B. Warner"	"Comedy, Drama"	
Belle of the Nineties	1934	Leo McCarey	"Mae West, Johnny Mack Brown, Katherine DeMille"	"Comedy, Western"	
Beloved	1934	Victor Schertzinger	"John Boles, Gloria Stuart, Morgan Farley"	"Drama, Musical"	
The Big Shakedown	1934	John Francis Dillon	"Bette Davis, Ricardo Cortez, Allen Jenkins"	"Drama, Crime"	
The Black Cat	1934	Edgar G. Ulmer	"Boris Karloff, Bela Lugosi, David Manners"	"Crime, Horror"	
Black Moon	1934	Roy William Neill	"Fay Wray, Dorothy Burgess, Jack Holt"	"Drama, Horror"	
Blind Date	1934	Roy Mack	"Ann Sothern, Neil Hamilton, Paul Kelly"	"Comedy, Romance"	
Bolero	1934	"Mitchell Leisen, Wesley Ruggles"	"George Raft, Carole Lombard, Sally Rand"	Drama	
Born to be Bad	1934	Lowell Sherman	"Loretta Young, Cary Grant, Marion Burns"	Drama	
Bottoms Up	1934	David Butler	"Spencer Tracy, John Boles, Pat Paterson"	"Drama, Musical"	
Bright Eyes	1934	David Butler	"Shirley Temple, James Dunn, Lois Wilson"	"Comedy, Musical"	
Broadway Bill	1934	Frank Capra	"Myrna Loy, Warner Baxter, Walter Connolly"	"Comedy, Drama"	
Bulldog Drummond Strikes Back	1934	Roy Del Ruth	"Ronald Colman, Loretta Young, Charles Butterworth"	"Comedy, Mystery"	
By Your Leave	1934	Lloyd Corrigan	"Frank Morgan, Genevieve Tobin, Neil Hamilton"	"Comedy, Drama"	
The Captain Hates the Sea	1934	Lewis Milestone	"Victor McLaglen, Alison Skipworth, John Gilbert"	Comedy	
Caravan	1934	Erik Charell	"Charles Boyer, Loretta Young, Jean Parker"	"Drama, Musical"	
Carolina	1934	Henry King	"Janet Gaynor, Lionel Barrymore, Henrietta Crosman"	"Comedy, Drama"	
The Case of the Howling Dog	1934	Alan Crosland	"Warren William, Mary Astor"	Mystery	
The Cat and the Fiddle	1934	William K. Howard	"Ramon Novarro, Jeanette MacDonald"	Musical	
The Cat's-Paw	1934	Sam Taylor	"Harold Lloyd, Una Merkel"	Comedy	
Change of Heart	1934	John G. Blystone	"Janet Gaynor, James Dunn, Ginger Rogers"	"Drama, Romance"	
Charlie Chan in London	1934	Eugene Forde	"Warner Oland, Mona Barrie, Ray Milland"	Mystery	
Charlie Chan's Courage	1934	Eugene Forde	"Warner Oland, Drue Leyton, Donald Woods"	Mystery	
The Circus Clown	1934	Ray Enright	"Joe E. Brown, Patricia Ellis"	Comedy	
City Limits	1934	William Nigh	"Frank Craven, Sally Blane, Claude Gillingwater"	"Comedy, Drama"	
Cleopatra	1934	Cecil B. DeMille	"Claudette Colbert, Warren William, Henry Wilcoxon"	Drama	
The Count of Monte Cristo	1934	Rowland V. Lee	"Robert Donat, Elissa Landi, Louis Calhern"	"Drama, Adventure"	
Crime Without Passion	1934	Ben Hecht	"Claude Rains, Margo"	Drama	
Dames	1934	Busby Berkeley	"Joan Blondell, Dick Powell, Ruby Keeler"	"Comedy, Musical"	
Dark Hazard	1934	Alfred E. Green	"Edward G. Robinson, Genevieve Tobin, Robert Barrat"	Drama	
Death on the Diamond	1934	Edward Sedgwick	"Robert Young, Madge Evans"	Mystery	
Death Takes a Holiday	1934	Mitchell Leisen	"Fredric March, Helen Westley, Kent Taylor"	Drama	
Down to Their Last Yacht	1934	Paul Sloane	"Mary Boland, Polly Moran, Ned Sparks"	"Comedy, Musical"	
Dr. Monica	1934	William Keighley	"Kay Francis, Warren William, Jean Muir"	Drama	
Evelyn Prentice	1934	William K. Howard	"William Powell, Myrna Loy, Rosalind Russell"	Drama	
Fashions of 1934	1934	William Rees	"William Powell, Bette Davis, Frank McHugh"	"Comedy, Drama, Musical"	
Finishing School	1934	Wanda Tuchock	"Frances Dee, Ginger Rogers, Bruce Cabot"	"Drama, Romance"	
Flirtation Walk	1934	Frank Borzage	"Dick Powell, Ruby Keeler, Ross Alexander"	"Musical, Romance"	
Fog Over Frisco	1934	William Dieterle	"Bette Davis, Donald Woods, Margaret Lindsay"	"Drama, Mystery"	
Forsaking All Others	1934	W. S. Van Dyke	"Joan Crawford, Clark Gable, Robert Montgomery"	Romance	
Four Frightened People	1934	Cecil B. DeMille	"Claudette Colbert, Mary Boland, Herbert Marshall"	Comedy	
Friends of Mr. Sweeney	1934	Edward Ludwig	"Charles Ruggles, Ann Dvorak, Eugene Pallette"	"Comedy, Drama"	
Gambling Lady	1934	Archie Mayo	"Barbara Stanwyck, Pat O'Brien, Joel McCrea"	Drama	
The Gay Bride	1934	Jack Conway	"Carole Lombard, Chester Morris, Zazu Pitts"	Crime	
The Gay Divorcee	1934	Mark Sandrich	"Fred Astaire, Ginger Rogers, Alice Brady"	"Comedy, Musical"	
The Ghost Walks	1934	Frank R. Strayer	"June Collyer, John Miljan"	"Mystery, Horror"	
Gift of Gab	1934	Karl Freund	"Edmund Lowe, Gloria Stuart, Ruth Etting"	"Comedy, Musical"	
The Girl from Missouri	1934	Jack Conway	"Jean Harlow, Lionel Barrymore, Franchot Tone"	Comedy	
Grand Canary	1934	Irving Cummings	"Warner Baxter, Madge Evans"	Drama	
Great Expectations	1934	Stuart Walker	"Phillips Holmes, Jane Wyatt, Florence Reed"	Drama	
Happiness Ahead	1934	Mervyn LeRoy	"Dick Powell, Josephine Hutchinson, Allen Jenkins"	"Comedy, Musical"	
Harlem After Midnight	1934	Oscar Micheaux	"Rex Ingram, Bee Freeman, Lawrence Chenault"	Drama	
Have a Heart	1934	David Butler	"Jean Parker, James Dunn, Stuart Erwin"	"Drama, Romance"	
He Was Her Man	1934	Lloyd Bacon	"James Cagney, Joan Blondell, Victor Jory"	Drama	
The Hell Cat	1934	Albert Rogell	"Robert Armstrong, Ann Sothern, Benny Baker, Minna Gombell"	Drama	
Here Comes the Navy	1934	"Lloyd Bacon, Earl Baldwin"	"James Cagney, Pat O'Brien, Gloria Stuart"	"Comedy, Romance"	
Here is My Heart	1934	Frank Tuttle	"Bing Crosby, Kitty Carlisle, Roland Young"	"Musical, Comedy"	
Hide-Out	1934	W. S. Van Dyke	"Maureen O'Sullivan, Robert Montgomery, Edward Arnold"	"Comedy, Drama"	
Hollywood Party	1934	"Roy Rowland, Sam Wood"	"Jimmy Durante, Stan Laurel, Oliver Hardy"	"Comedy, Musical"	
House of Mystery	1934	William Nigh	"Clay Clement, Joyzelle Joyner, Gabby Hayes"	"Mystery, Horror"	
The House of Rothschild	1934	Alfred L. Werker	"George Arliss, Boris Karloff, Loretta Young"	Biography	
Housewife	1934	Alfred E. Green	"Bette Davis, George Brent, Ann Dvorak"	Drama	
I Am a Thief	1934	Robert Florey	"Mary Astor, Ricardo Cortez, Dudley Digges"	"Drama, Crime"	
I've Got Your Number	1934	Ray Enright	"Joan Blondell, Pat O'Brien, Glenda Farrell"	"Comedy, Romance"	
Imitation of Life	1934	John M. Stahl	"Claudette Colbert, Fredi Washington, Louise Beavers"	Drama	
It Happened One Night	1934	Frank Capra	"Claudette Colbert, Clark Gable, Roscoe Karns"	"Comedy, Romance"	
It's a Gift	1934	Norman Z. McLeod	"W. C. Fields, Kathleen Howard"	Comedy	
Jimmy the Gent	1934	Michael Curtiz	"James Cagney, Bette Davis, Allen Jenkins"	"Comedy, Drama"	
Journal of a Crime	1934	F. McGrew Willis	"Ruth Chatterton, Adolphe Menjou, Claire Dodd"	Drama	
Judge Priest	1934	John Ford	"Will Rogers, Tom Brown"	Comedy	
Kansas City Princess	1934	William Rees	"Joan Blondell, Glenda Farrell, Robert Armstrong"	"Comedy, Romance"	
Keep 'Em Rolling	1934	George Archainbaud	"Walter Huston, Frank Conroy, G. Pat Collins"	"Drama, War"	
Kentucky Kernels	1934	George Stevens	"Bert Wheeler, Robert Woolsey, Mary Carlisle"	Comedy	
Kid Millions	1934	Roy Del Ruth	"Eddie Cantor, Ann Sothern, Ethel Merman"	"Comedy, Musical"	
Lady by Choice	1934	David Burton	"Carole Lombard, May Robson, Walter Connolly"	"Comedy, Drama"	
The Last Round-Up	1934	Henry Hathaway	"Randolph Scott, Monte Blue, Barton MacLane"	Western	
Laughing Boy	1934	Hunt Stromberg	"Lupe V?lez, Ramon Novarro, William B. Davidson"	Drama	
Limehouse Blues	1934	Alexander Hall	"George Raft, Jean Parker, Anna May Wong"	"Drama, Crime"	
The Line-Up	1934	Howard Higgin	"William Gargan, Marian Nixon, John Miljan"	"Drama, Crime"	
"Little Man, What Now?"	1934	Frank Borzage	"Margaret Sullavan, Douglass Montgomery, Alan Hale"	Drama	
The Little Minister	1934	Richard Wallace	"Katharine Hepburn, John Beal"	Drama	
Little Miss Marker	1934	Alexander Hall	"Adolphe Menjou, Shirley Temple, Charles Bickford"	"Comedy, Drama"	
Looking for Trouble	1934	William A. Wellman	"Spencer Tracy, Constance Cummings"	"Drama, Crime"	
A Lost Lady	1934	Alfred E. Green	"Barbara Stanwyck, Frank Morgan, Ricardo Cortez"		
The Lost Patrol	1934	John Ford	"Victor McLaglen, Wallace Ford, Boris Karloff"	"Adventure, War"	
The Lucky Texan	1934	Robert N. Bradbury	"John Wayne, Barbara Sheldon, George 'Gabby' Hayes"	Western	
Madame DuBarry	1934	William Dieterle	"Dolores del R?o, Victor Jory, Osgood Perkins"	"Comedy, Drama"	
The Man from Utah	1934	Robert N. Bradbury	"John Wayne, Polly Ann Young, George 'Gabby' Hayes"	Western	
The Man Who Reclaimed His Head	1934	Edward Ludwig	"Claude Rains, Joan Bennett, Lionel Atwill"	Drama	
The Man with Two Faces	1934	Archie Mayo	"Edward G. Robinson, Mary Astor, Ricardo Cortez"	"Drama, Crime"	
Managed Money	1934	Charles Lamont	"Junior Coghlan, Shirley Temple"	Comedy	two-reel short
Mandalay	1934	Michael Curtiz	"Kay Francis, Ricardo Cortez, Warner Oland"	Drama	
Manhattan Melodrama	1934	George Cukor	"Clark Gable, William Powell, Myrna Loy"	"Drama, Romance"	
Maniac	1934	Dwain Esper	"Bill Woods, Horace Carpenter"	Horror	
Many Happy Returns	1934	Norman Z. McLeod	"Gracie Allen, George Burns, George Barbier"	Comedy	
Marie Galante	1934	Henry King	"Spencer Tracy, Ketti Gallian, Ned Sparks"	"Drama, Romance"	
Melody in Spring	1934	Norman Z. McLeod	"Lanny Ross, Charlie Ruggles, Mary Boland, Ann Sothern"	"Comedy, Musical"	
Men in White	1934	Richard Boleslawski	"Clark Gable, Jean Hersholt, Myrna Loy"	Drama	
The Merry Widow	1934	Ernst Lubitsch	"Jeanette MacDonald, Maurice Chevalier, Edward Everett Horton"	"Comedy, Musical"	
Midnight	1934	Chester Erskine	"Sidney Fox, Margaret Wycherly, Humphrey Bogart"	"Drama, Crime"	
Monte Carlo Nights	1934	William Nigh	"Mary Brian, John Darrow, Gabby Hayes"	"Drama, Mystery"	
Moulin Rouge	1934	Sidney Lanfield	"Constance Bennett, Franchot Tone, Tullio Carminati"	"Comedy, Musical"	
The Mysterious Mr. Wong	1934	William Nigh	"Bela Lugosi, Arline Judge, Wallace Ford"	"Mystery, Horror"	
The Ninth Guest	1934	Roy William Neill	"Genevieve Tobin, Donald Cook"	"Drama, Mystery"	
Now and Forever	1934	Henry Hathaway	"Gary Cooper, Carole Lombard, Shirley Temple"	"Comedy, Romance"	
Now I'll Tell	1934	Edwin J. Burke	"Spencer Tracy, Helen Twelvetrees, Alice Faye"	Drama	
Of Human Bondage	1934	John Cromwell	"Bette Davis, Leslie Howard, Kay Johnson"	Drama	
The Old Fashioned Way	1934	William Beaudine	"W. C. Fields, Baby LeRoy, Judith Allen"	Comedy	
One More River	1934	James Whale	"Diana Wynyard, Frank Lawton, Jane Wyatt"	Drama	
One Night of Love	1934	Victor Schertzinger	"Grace Moore, Mona Barrie, Tullio Carminati"	Musical	
Operator 13	1934	Richard Boleslawski	"Marion Davies, Gary Cooper, The Mills Brothers"	"Comedy, Drama, Musical"	
Our Daily Bread	1934	King Vidor	"Karen Morley, Tom Keene, Barbara Pepper"	Drama	
Outcast Lady	1934	Robert Z. Leonard	"Constance Bennett, Herbert Marshall, Hugh Williams"	Drama	
The Painted Veil	1934	Richard Boleslawski	"Greta Garbo, Herbert Marshall, George Brent"	Drama	
Palooka	1934	Benjamin Stoloff	"Jimmy Durante, Lupe V?lez, Stuart Erwin"	Comedy	
Pardon My Pups	1934	Charles Lamont	"Junior Coghlan, Shirley Temple"	Comedy	two-reel short
Paris Interlude	1934	Edwin L. Marin	"Madge Evans, Robert Young, Ted Healy"	"Drama, Musical"	
Peck's Bad Boy	1934	Edward F. Cline	"Jackie Cooper, Thomas Meighan, Dorothy Peterson"	"Comedy, Drama"	
The Personality Kid	1934	Alan Crosland	"Pat O'Brien, Glenda Farrell, Claire Dodd"	Drama	
Port of Lost Dreams	1934	Frank R. Strayer	"William Boyd, George F. Marion, Lola Lane"	"Drama, Crime"	
The President Vanishes	1934	William A. Wellman	"Edward Arnold, Arthur Byron, Peggy Conklin"	Drama	
Ready for Love	1934	Marion Gering	"Richard Arlen, Ida Lupino, Marjorie Rambeau"	"Romance, Comedy"	
The Richest Girl in the World	1934	William A. Seiter	"Miriam Hopkins, Fay Wray, Joel McCrea"	Comedy	
Riptide	1934	Edmund Goulding	"Norma Shearer, Robert Montgomery, Herbert Marshall"	Romance	
The Road to Ruin	1934	Dorothy Davenport	"Helen Foster, Nell O'Day, Glen Boles"	Drama	
Sadie McKee	1934	Clarence Brown	"Joan Crawford, Franchot Tone, Edward Arnold"	Drama	
The Scarlet Empress	1934	Josef von Sternberg	"Marlene Dietrich, John Lodge, Sam Jaffe"	Historical drama	
The Scarlet Letter	1934	Ray Enright	"Colleen Moore, Henry B. Walthall, Alan Hale"	Drama	
The Secret Bride	1934	William Dieterle	"Barbara Stanwyck, Warren William, Glenda Farrell"	Drama	
Sequoia	1934	Edwin L. Marin	"Jean Parker, Russell Hardie, Samuel S. Hinds"	"Drama, Adventure"	
She Love Me Not	1934	Elliot Nugent	"Miriam Hopkins, Bing Crosby, Kitty Carlisle"	Romantic comedy	
The Show-Off	1934	Charles Reisner	"Spencer Tracy, Madge Evans, Henry Wadsworth"	Comedy	
Side Streets	1934	Alfred E. Green	"Aline MacMahon, Ann Dvorak, Paul Kelly"	Drama	
The Silver Streak	1934	Thomas Atkins	"Charles Starrett, Sally Blane"	Drama	
Six of a Kind	1934	Leo McCarey	"Charles Ruggles, Mary Boland, George Burns"	Comedy	
Smoking Guns	1934	Alan James	"Ken Maynard, Gloria Shea, Walter Miller"	Western	
Spitfire	1934	John Cromwell	"Katharine Hepburn, Sara Haden, Ralph Bellamy"	Drama	
The St. Louis Kid	1934	Ray Enright	"James Cagney, Allen Jenkins, Robert Barrat"	Drama	
Stand Up and Cheer!	1934	Winfield Sheehan	"Warner Baxter, Madge Evans, Shirley Temple"	Musical	
The Star Packer	1934	Robert N. Bradbury	"John Wayne, Gabby Hayes, Verna Hillie"	Western	
Sweet Adeline	1934	Mervyn LeRoy	"Irene Dunne, Hugh Herbert, Donald Woods"	"Drama, Musical"	
Tarzan and His Mate	1934	Cedric Gibbons	"Maureen O'Sullivan, Johnny Weissmuller, Neil Hamilton"	"Drama, Adventure"	
The Thin Man	1934	W. S. Van Dyke	"William Powell, Myrna Loy, Maureen O'Sullivan"	"Comedy, Drama, Crime"	
Thirty Day Princess	1934	Marion Gering	"Cary Grant, Sylvia Sidney, Edward Arnold"	Comedy	
This Man Is Mine	1934	John Cromwell	"Irene Dunne, Constance Cummings, Ralph Bellamy"	"Drama, Romance"	
This Side of Heaven	1934	William K. Howard	"Lionel Barrymore, Fay Bainter, Tom Brown"	"Comedy, Drama"	
The Trail Beyond	1934	Robert N. Bradbury	"John Wayne, Verna Hillie, Noah Beery, Sr."	Western	
Treasure Island	1934	Victor Fleming	"Wallace Beery, Jackie Cooper, Lionel Barrymore"	Adventure	
Twentieth Century	1934	Howard Hawks	"Carole Lombard, John Barrymore, Walter Connolly"	Comedy	
Twenty Million Sweethearts	1934	Ray Enright	"Ginger Rogers, Dick Powell, Ted Fio Rito"	"Comedy, Musical"	
Two Heads on a Pillow	1934	William Nigh	"Neil Hamilton, Miriam Jordan"	Romantic comedy	
Uncertain Lady	1934	Karl Freund	"Genevieve Tobin, Edward Everett Horton"	Comedy	
Upperworld	1934	Roy Del Ruth	"Ginger Rogers, Warren William, Mary Astor"	Drama	
Viva Villa!	1934	"Howard Hawks, Jack Conway"	"Wallace Beery, Leo Carrillo, Mary Astor"	"Drama, Biography"	
We Live Again	1934	Rouben Mamoulian	"Anna Sten, Fredric March, C. Aubrey Smith"	Drama	
We're Not Dressing	1934	Norman Taurog	"Bing Crosby, George Burns, Gracie Allen"	"Comedy, Musical"	
We're Rich Again	1934	Sam Wood	"Billie Burke, Edna May Oliver, Buster Crabbe"	Comedy	
Wednesday's Child	1934	John S. Robertson	"Karen Morley, Edward Arnold, Frankie Thomas"	Drama	
West of the Divide	1934	Robert N. Bradbury	"John Wayne, Virginia Faire Brown, George Hayes"	Drama	
West of the Pecos	1934	Phil Rosen	"Richard Dix, Samuel S. Hinds, Martha Sleeper"	Western	
What Every Woman Knows	1934	Gregory La Cava	"Helen Hayes, Madge Evans, Dudley Digges"	"Comedy, Drama"	
Whirlpool	1934	Roy William Neill	"Jean Arthur, Jack Holt, Donald Cook"	"Drama, Crime"	
The White Parade	1934	Irving Cummings	"Loretta Young, John Boles, Dorothy Wilson"	Drama	
Whom the Gods Destroy	1934	Walter Lang	"Walter Connolly, Robert Young, Doris Kenyon"	Drama	
A Wicked Woman	1934	Charles Brabin	"Mady Christians, Jean Parker, Charles Bickford"	Drama	
Wild Cargo	1934	Armand Denis	Frank Buck	Documentary	
The Witching Hour	1934	Henry Hathaway	"John Halliday, Judith Allen, William Frawley"	Drama	
The Woman Condemned	1934	Dorothy Davenport	"Claudia Dell, Lola Lane, Jason Robards, Sr."	"Drama, Crime"	
Woman in the Dark	1934	Phil Rosen	"Fay Wray, Ralph Bellamy, Melvyn Douglas"	"Drama, Crime"	
Wonder Bar	1934	"Lloyd Bacon, Busby Berkeley"	"Al Jolson, Dolores del R?o, Kay Francis"	"Comedy, Musical"	
The World Moves On	1934	John Ford	"Franchot Tone, Madeleine Carroll, Reginald Denny"	"Drama, War"	
The Yiddish King Lear	1934	Harry Thomashefsky	"Maurice Krohner, Fannie Levenstein, Esther Adler"	Drama	Yiddish-language
You Belong to Me	1934	Alfred L. Werker	"Lee Tracy, Helen Mack, Helen Morgan"	Drama	
You Can't Buy Everything	1934	Charles Reisner	"May Robson, Jean Parker, Lewis Stone"	"Comedy, Drama"	
You're Telling Me!	1934	Erle C. Kenton	"W. C. Fields, Buster Crabbe, Joan Marsh"	Comedy	
Young and Beautiful	1934	Joseph Santley	"William Haines, Joseph Cawthorn, Judith Allen"	Comedy	
After Office Hours	1935	Robert Z. Leonard	"Constance Bennett, Clark Gable, Billie Burke"	"Drama, Crime"	
"Ah, Wilderness!"	1935	Clarence Brown	"Wallace Beery, Lionel Barrymore, Mickey Rooney"	"Comedy, Drama"	
Air Hawks	1935	Albert S. Rogell	"Ralph Bellamy, Tala Birell, Douglass Dumbrille"	"Drama, Action"	
Alice Adams	1935	George Stevens	"Katharine Hepburn, Fred MacMurray, Evelyn Venable"	"Drama, Romance"	
Anna Karenina	1935	Clarence Brown	"Greta Garbo, Fredric March, Maureen O'Sullivan"	Drama	
Annie Oakley	1935	George Stevens	"Barbara Stanwyck, Melvyn Douglas, Preston Foster"	"Drama, Western"	
The Arizonian	1935	"Charles Vidor, Dewey Starkey"	"Richard Dix, Margot Grahame, Preston Foster, Louis Calhern"	Western	
Baby Face Harrington	1935	Raoul Walsh	"Charles Butterworth, Una Merkel, Nat Pendleton"	Comedy	
Barbary Coast	1935	Howard Hawks	"Edward G. Robinson, Miriam Hopkins, Joel McCrea"	"Drama, Adventure"	
Becky Sharp	1935	"Rouben Mamoulian, Lowell Sherman"	"Miriam Hopkins, Cedric Hardwicke, Frances Dee"	Drama	
The Best Man Wins	1935	Erle C. Kenton	"Edmund Lowe, Jack Holt, Bela Lugosi"	"Drama, Crime"	
The Big Broadcast of 1936	1935	Norman Taurog	"George Burns, Gracie Allen, Ethel Merman"	"Comedy, Musical"	
Biography of a Bachelor Girl	1935	Edward H. Griffith	"Ann Harding, Robert Montgomery, Edward Arnold"	"Comedy, Romance"	
The Bishop Misbehaves	1935	Ewald Andr? Dupont	"Edmund Gwenn, Maureen O'Sullivan"	"Comedy, Crime"	
Black Fury	1935	Michael Curtiz	"Paul Muni, Karen Morley, Barton MacLane"	Drama	
The Black Room	1935	Roy William Neill	"Boris Karloff, Marian Marsh, Katherine DeMille"	"Crime, Horror"	
Bordertown	1935	Archie Mayo	"Paul Muni, Bette Davis, Margaret Lindsay"	"Drama, Crime"	
The Bride Comes Home	1935	Wesley Ruggles	"Claudette Colbert, Fred MacMurray, Robert Young"	Comedy	
Bride of Frankenstein	1935	James Whale	"Boris Karloff, Elsa Lanchester, Colin Clive"	"Sci-fi, Horror"	
Broadway Melody of 1936	1935	"Roy Del Ruth, W. S. Van Dyke"	"Eleanor Powell, Robert Taylor, Jack Benny"	"Comedy, Musical"	
The Call of the Wild	1935	William A. Wellman	"Clark Gable, Loretta Young, Jack Oakie"	"Drama, Adventure"	
Captain Blood	1935	Michael Curtiz	"Errol Flynn, Olivia de Havilland, Lionel Atwill"	"Adventure, Action"	
Captain Hurricane	1935	John S. Robertson	"James Barton, Helen Westley, Gene Lockhart"	"Comedy, Drama"	
Car 99	1935	Charles Barton	"Fred MacMurray, Ann Sheridan, Guy Standing"	"Drama, Crime"	
Cardinal Richelieu	1935	Rowland V. Lee	"George Arliss, Maureen O'Sullivan, Cesar Romero"	"Drama, Romance"	
The Case of the Curious Bride	1935	Michael Curtiz	"Warren William, Claire Dodd, Allen Jenkins"	"Drama, Crime"	
The Case of the Lucky Legs	1935	Michael Curtiz	"Warren William, Genevieve Tobin, Patricia Ellis"	"Drama, Crime"	
The Casino Murder Case	1935	Edwin L. Marin	"Paul Lukas, Alison Skipworth, Rosalind Russell"	"Comedy, Mystery"	
Charlie Chan in Egypt	1935	Louis King	"Warner Oland, Rita Hayworth, Pat Paterson"	"Mystery, Comedy"	
Chasing Yesterday	1935	"George Nicholls, Jr."	"Anne Shirley, O. P. Heggie, Helen Westley"	Drama	
China Seas	1935	Tay Garnett	"Clark Gable, Jean Harlow, Wallace Beery"	Adventure	
Circumstantial Evidence	1935	Charles Lamont	"Chick Chandler, Shirley Grey, Claude King"	"Drama, Crime"	
Condemned to Live	1935	Frank R. Strayer	"Ralph Morgan, Maxine Doyle, Russell Gleason"	"Mystery, Horror"	
Coronado	1935	Norman Z. MacLeod	"Betty Burgess, Johnny Downs, Eddy Durchin"	Musical	
Crime and Punishment	1935	Josef von Sternberg	"Peter Lorre, Edward Arnold, Marian Marsh"	"Drama, Crime"	
The Crime of Dr. Crespi	1935	John H. Auer	"Erich von Stroheim, Dwight Frye"	Horror	
The Crusades	1935	Cecil B. DeMille	"Loretta Young, Henry Wilcoxon, C. Aubrey Smith"	"Drama, Adventure"	
Curly Top	1935	Irving Cummings	"Shirley Temple, John Boles, Rochelle Hudson"	Musical	
Danger Ahead	1935	Albert Herman	"Lawrence Gray, Fuzzy Knight, Sheila Bromley"	"Drama, Crime"	
Dangerous	1935	Alfred E. Green	"Bette Davis, Franchot Tone, Alison Skipworth"	Drama	
Dante's Inferno	1935	Harry Lachman	"Spencer Tracy, Henry B. Walthall, Rita Hayworth"	Drama	
The Dark Angel	1935	Sidney Franklin	"Merle Oberon, Fredric March, Herbert Marshall"	"Drama, Romance"	
David Copperfield	1935	George Cukor	"Frank Lawton, Roland Young, Maureen O'Sullivan"	"Drama, Romance"	
Devil Dogs of the Air	1935	Lloyd Bacon	"James Cagney, Pat O'Brien, Margaret Lindsay"	"Comedy, Drama"	
The Devil is a Woman	1935	Josef von Sternberg	"Marlene Dietrich, Lionel Atwill, Cesar Romero"	"Comedy, Drama"	
A Dog of Flanders	1935	Edward Sloman	"Frankie Thomas, O.P. Heggie, Helen Parrish"	Drama	
